Date,HomeTeam,AwayTeam,HomeAverageAge,AwayAverageAge,HomeAverageValue,AwayAverageValue
1/11/2008,Stoke,Arsenal,29,24,2245454,6272727
1/11/2008,Tottenham,Liverpool,24,26,10227272,21000000
1/11/2008,West Brom,Blackburn,24,27,3581818,3327272
2/11/2008,Bolton,Man City,27,23,3563636,10627272
3/11/2008,Newcastle,Aston Villa,27,27,5427272,10318181
8/11/2008,Arsenal,Man United,24,27,8272727,25681818
8/11/2008,Hull,Bolton,27,27,3763636,3381818
8/11/2008,Liverpool,West Brom,26,24,18863636,3263636
8/11/2008,Sunderland,Portsmouth,25,28,3454545,9250000
8/11/2008,West Ham,Everton,27,26,4054545,10190909
8/11/2008,Wigan,Stoke,26,29,1727272,2245454
9/11/2008,Aston Villa,Middlesbrough,26,24,9827272,4290909
9/11/2008,Blackburn,Chelsea,26,26,3409090,18863636
9/11/2008,Fulham,Newcastle,29,27,3836363,4881818
9/11/2008,Man City,Tottenham,24,24,9472727,11409090
15/11/2008,Arsenal,Aston Villa,24,26,8272727,10645454
15/11/2008,Blackburn,Sunderland,27,25,4136363,4100000
15/11/2008,Bolton,Liverpool,27,27,4290909,20454545
15/11/2008,Fulham,Tottenham,28,24,4336363,12181818
15/11/2008,Man United,Stoke,26,29,20227272,2245454
15/11/2008,Newcastle,Wigan,27,26,5354545,1681818
15/11/2008,West Brom,Chelsea,24,27,3363636,16136363
15/11/2008,West Ham,Portsmouth,25,27,4827272,8927272
16/11/2008,Everton,Middlesbrough,26,24,10909090,4527272
16/11/2008,Hull,Man City,27,24,3827272,9654545
22/11/2008,Aston Villa,Man United,26,27,9918181,20318181
22/11/2008,Chelsea,Newcastle,26,26,19636363,6372727
22/11/2008,Liverpool,Fulham,25,28,18090909,4336363
22/11/2008,Man City,Arsenal,24,23,9881818,6595454
22/11/2008,Middlesbrough,Bolton,24,27,4645454,4290909
22/11/2008,Portsmouth,Hull,28,27,5468181,3827272
22/11/2008,Stoke,West Brom,28,25,2127272,3299999
23/11/2008,Sunderland,West Ham,25,27,4209090,5300000
23/11/2008,Tottenham,Blackburn,24,27,11318181,4700000
24/11/2008,Wigan,Everton,26,27,1909090,10909090
29/11/2008,Aston Villa,Fulham,26,28,10645454,4336363
29/11/2008,Middlesbrough,Newcastle,24,26,4881818,5854545
29/11/2008,Stoke,Hull,29,27,1945454,3590909
29/11/2008,Sunderland,Bolton,26,27,5072727,4290909
29/11/2008,Wigan,West Brom,26,24,2181818,3618181
30/11/2008,Chelsea,Arsenal,26,23,19409090,10545454
30/11/2008,Man City,Man United,25,26,9245454,24836363
30/11/2008,Portsmouth,Blackburn,28,29,6777272,4927272
30/11/2008,Tottenham,Everton,24,26,10909090,10954545
1/12/2008,Liverpool,West Ham,28,27,18409090,5881818
6/12/2008,Arsenal,Wigan,23,26,9090909,2181818
6/12/2008,Blackburn,Liverpool,28,26,4518181,16136363
6/12/2008,Bolton,Chelsea,27,27,4290909,19818181
6/12/2008,Fulham,Man City,28,26,4336363,6281818
6/12/2008,Hull,Middlesbrough,27,24,3590909,4881818
6/12/2008,Man United,Sunderland,26,27,24836363,4281818
6/12/2008,Newcastle,Stoke,25,29,5654545,1781818
7/12/2008,Everton,Aston Villa,26,26,11281818,10645454
7/12/2008,West Brom,Portsmouth,24,28,3618181,8013636
8/12/2008,West Ham,Tottenham,27,25,5881818,12090909
13/12/2008,Aston Villa,Bolton,26,27,10645454,4290909
13/12/2008,Liverpool,Hull,27,27,17318181,3554545
13/12/2008,Man City,Everton,24,26,10718181,11154545
13/12/2008,Middlesbrough,Arsenal,24,24,3963636,9363636
13/12/2008,Stoke,Fulham,28,28,2072727,4018181
13/12/2008,Sunderland,West Brom,25,24,4190909,3518181
13/12/2008,Tottenham,Man United,24,26,11863636,21200000
13/12/2008,Wigan,Blackburn,26,28,681818,4518181
14/12/2008,Chelsea,West Ham,27,25,20363636,5409090
14/12/2008,Portsmouth,Newcastle,28,26,6854545,5854545
