Date,HomeTeam,AwayTeam,HomeAverageAge,AwayAverageAge,HomeAverageValue,AwayAverageValue
4/02/2012,West Brom,Swansea,28,24,2954545,5409090
4/02/2012,Wigan,Everton,26,28,0,7136363
5/02/2012,Chelsea,Man United,26,26,22772727,19000000
5/02/2012,Newcastle,Aston Villa,25,28,5636363,5000000
6/02/2012,Liverpool,Tottenham,27,27,10500000,16409090
11/02/2012,Blackburn,QPR,24,27,2681818,4477272
11/02/2012,Bolton,Wigan,27,26,1590909,0
11/02/2012,Everton,Chelsea,28,27,7090909,20909090
11/02/2012,Fulham,Stoke,30,28,4500000,4818181
11/02/2012,Man United,Liverpool,27,26,16636363,10090909
11/02/2012,Sunderland,Arsenal,25,25,4227272,16590909
11/02/2012,Swansea,Norwich,24,26,5863636,3136363
11/02/2012,Tottenham,Newcastle,28,25,16363636,5227272
12/02/2012,Aston Villa,Man City,28,26,4909090,18772727
12/02/2012,Wolves,West Brom,25,28,3545454,2954545
25/02/2012,Chelsea,Bolton,27,25,21227272,1818181
25/02/2012,Man City,Blackburn,25,25,18863636,2454545
25/02/2012,Newcastle,Wolves,25,26,6318181,2727272
25/02/2012,QPR,Fulham,27,30,4340909,4363636
25/02/2012,West Brom,Sunderland,28,25,2863636,4454545
25/02/2012,Wigan,Aston Villa,26,27,0,6454545
26/02/2012,Arsenal,Tottenham,26,28,16590909,16727272
26/02/2012,Norwich,Man United,26,27,2909090,14000000
26/02/2012,Stoke,Swansea,27,25,4681818,4681818
3/03/2012,Blackburn,Aston Villa,25,27,2727272,4363636
3/03/2012,Liverpool,Arsenal,26,26,7590909,16590909
3/03/2012,Man City,Bolton,26,25,17590909,1704545
3/03/2012,QPR,Everton,28,29,4522727,6318181
3/03/2012,Stoke,Norwich,26,25,5409090,3090909
3/03/2012,West Brom,Chelsea,28,27,2863636,21227272
3/03/2012,Wigan,Swansea,26,24,0,5409090
4/03/2012,Fulham,Wolves,30,26,3681818,2727272
4/03/2012,Newcastle,Sunderland,25,25,6318181,5590909
4/03/2012,Tottenham,Man United,27,26,14181818,20636363
10/03/2012,Aston Villa,Fulham,27,30,4363636,3681818
10/03/2012,Bolton,QPR,25,28,1704545,3840909
10/03/2012,Chelsea,Stoke,28,27,16909090,4090909
10/03/2012,Everton,Tottenham,28,27,5909090,17772727
10/03/2012,Sunderland,Liverpool,25,25,5681818,6590909
10/03/2012,Wolves,Blackburn,25,24,3250000,2545454
11/03/2012,Man United,West Brom,26,28,18954545,3227272
11/03/2012,Norwich,Wigan,27,26,2863636,0
11/03/2012,Swansea,Man City,24,25,5318181,18636363
12/03/2012,Arsenal,Newcastle,25,25,15772727,7409090
13/03/2012,Liverpool,Everton,26,27,9272727,8500000
17/03/2012,Fulham,Swansea,29,25,4590909,5000000
17/03/2012,Wigan,West Brom,26,27,0,3318181
18/03/2012,Newcastle,Norwich,26,26,6954545,2772727
18/03/2012,Wolves,Man United,25,26,3522727,18181818
20/03/2012,Blackburn,Sunderland,24,26,2545454,5545454
21/03/2012,Everton,Arsenal,29,25,7227272,16818181
21/03/2012,Man City,Chelsea,25,27,18318181,23000000
21/03/2012,QPR,Liverpool,28,27,4727272,7636363
21/03/2012,Tottenham,Stoke,28,27,14409090,5409090
24/03/2012,Arsenal,Aston Villa,25,28,15954545,4454545
24/03/2012,Bolton,Blackburn,25,24,1704545,2545454
24/03/2012,Chelsea,Tottenham,28,28,18818181,19136363
24/03/2012,Liverpool,Wigan,26,26,7954545,0
24/03/2012,Norwich,Wolves,26,25,2295454,3681818
24/03/2012,Stoke,Man City,27,26,5545454,20681818
24/03/2012,Sunderland,QPR,26,28,4409090,3681818
24/03/2012,Swansea,Everton,25,30,5318181,7272727
25/03/2012,West Brom,Newcastle,28,26,2863636,6954545
26/03/2012,Man United,Fulham,26,29,19000000,4000000
31/03/2012,Aston Villa,Chelsea,24,27,3886363,18136363
31/03/2012,Everton,West Brom,28,28,8772727,3272727
31/03/2012,Fulham,Norwich,30,25,4500000,3000000
31/03/2012,Man City,Sunderland,25,25,21454545,5727272
31/03/2012,QPR,Arsenal,28,25,4386363,16818181
31/03/2012,Wigan,Stoke,26,27,0,5500000
31/03/2012,Wolves,Bolton,25,25,3295454,1886363
1/04/2012,Newcastle,Liverpool,25,26,6227272,7045454
1/04/2012,Tottenham,Swansea,28,26,19136363,4636363
2/04/2012,Blackburn,Man United,25,26,2545454,18272727
6/04/2012,Swansea,Newcastle,25,25,4727272,6590909
7/04/2012,Bolton,Fulham,25,29,1840909,4318181
7/04/2012,Chelsea,Wigan,27,26,20318181,0
7/04/2012,Liverpool,Aston Villa,26,26,6545454,4250000
7/04/2012,Norwich,Everton,26,29,2545454,7090909
7/04/2012,Stoke,Wolves,27,25,5409090,3227272
7/04/2012,Sunderland,Tottenham,25,28,5727272,19136363
7/04/2012,West Brom,Blackburn,28,25,3000000,2545454
8/04/2012,Arsenal,Man City,26,25,16590909,18272727
8/04/2012,Man United,QPR,26,27,19000000,2704545
9/04/2012,Aston Villa,Stoke,25,27,4295454,4545454
9/04/2012,Everton,Sunderland,28,25,5818181,4454545
9/04/2012,Fulham,Chelsea,29,27,3681818,18681818
9/04/2012,Newcastle,Bolton,25,27,7318181,1750000
9/04/2012,Tottenham,Norwich,27,26,13136363,2409090
10/04/2012,Blackburn,Liverpool,25,25,2409090,6500000
11/04/2012,Man City,West Brom,26,26,21590909,2636363
11/04/2012,QPR,Swansea,27,25,4340909,5318181
11/04/2012,Wigan,Man United,26,27,0,19909090
11/04/2012,Wolves,Arsenal,25,26,3113636,15772727
14/04/2012,Norwich,Man City,26,26,2409090,21227272
14/04/2012,Sunderland,Wolves,25,24,5636363,2704545
14/04/2012,Swansea,Blackburn,24,25,5409090,2272727
14/04/2012,West Brom,QPR,27,28,3000000,4386363
15/04/2012,Man United,Aston Villa,26,24,19000000,4113636
16/04/2012,Arsenal,Wigan,27,26,15045454,0
21/04/2012,Arsenal,Chelsea,24,26,14181818,15681818
21/04/2012,Aston Villa,Sunderland,25,25,3750000,5181818
21/04/2012,Blackburn,Norwich,26,26,1954545,2500000
21/04/2012,Bolton,Swansea,27,24,2227272,5409090
21/04/2012,Fulham,Wigan,30,26,3909090,0
21/04/2012,Newcastle,Stoke,25,26,7136363,5636363
21/04/2012,QPR,Tottenham,28,28,4386363,14318181
22/04/2012,Liverpool,West Brom,26,27,9000000,3590909
22/04/2012,Man United,Everton,26,29,19863636,6909090
22/04/2012,Wolves,Man City,25,26,2909090,20045454
24/04/2012,Aston Villa,Bolton,26,25,2750000,2136363
28/04/2012,Everton,Fulham,29,29,6909090,4090909
28/04/2012,Norwich,Liverpool,25,27,2909090,8500000
28/04/2012,Stoke,Arsenal,27,25,5409090,14545454
28/04/2012,Sunderland,Bolton,25,26,4590909,2045454
28/04/2012,Swansea,Wolves,25,26,4909090,2840909
28/04/2012,West Brom,Aston Villa,27,27,3590909,3818181
28/04/2012,Wigan,Newcastle,26,25,0,7136363
29/04/2012,Chelsea,QPR,28,29,16409090,3704545
29/04/2012,Tottenham,Blackburn,26,26,19863636,1954545
30/04/2012,Man City,Man United,26,28,20045454,17227272
1/05/2012,Liverpool,Fulham,25,29,5863636,3681818
1/05/2012,Stoke,Everton,28,29,5000000,6909090
2/05/2012,Bolton,Tottenham,26,26,2045454,19863636
2/05/2012,Chelsea,Newcastle,27,25,16590909,6818181
5/05/2012,Arsenal,Norwich,25,25,14545454,3022727
6/05/2012,Aston Villa,Tottenham,27,26,3227272,19863636
6/05/2012,Bolton,West Brom,26,27,2045454,2909090
6/05/2012,Fulham,Sunderland,30,25,3818181,3500000
6/05/2012,Man United,Swansea,26,25,20409090,5136363
6/05/2012,Newcastle,Man City,25,26,6818181,20045454
6/05/2012,QPR,Stoke,28,29,4386363,4409090
6/05/2012,Wolves,Everton,27,29,2977272,6727272
7/05/2012,Blackburn,Wigan,26,26,2272727,0
8/05/2012,Liverpool,Chelsea,26,26,9863636,14727272
13/05/2012,Chelsea,Blackburn,25,23,14727272,1795454
13/05/2012,Everton,Newcastle,28,25,8454545,6818181
13/05/2012,Man City,QPR,26,29,20045454,3704545
13/05/2012,Norwich,Aston Villa,25,28,3022727,4227272
13/05/2012,Stoke,Bolton,29,28,4500000,2022727
13/05/2012,Sunderland,Man United,26,28,3636363,18363636
13/05/2012,Swansea,Liverpool,24,26,5409090,7272727
13/05/2012,Tottenham,Fulham,26,29,19863636,2727272
13/05/2012,West Brom,Arsenal,27,25,2363636,11681818
13/05/2012,Wigan,Wolves,26,27,0,2250000
18/08/2012,Arsenal,Sunderland,25,25,14545454,4636363
18/08/2012,Fulham,Norwich,30,25,3181818,3136363
18/08/2012,Newcastle,Tottenham,25,26,9590909,11454545
18/08/2012,QPR,Swansea,26,26,3022727,5454545
18/08/2012,Reading,Stoke,27,27,1909090,5181818
18/08/2012,West Brom,Liverpool,28,25,3909090,11181818
18/08/2012,West Ham,Aston Villa,28,25,2954545,4272727
19/08/2012,Man City,Southampton,26,25,17590909,2000000
19/08/2012,Wigan,Chelsea,26,27,1363636,19363636
20/08/2012,Everton,Man United,29,26,8227272,18954545
22/08/2012,Chelsea,Reading,27,27,20818181,1863636
25/08/2012,Aston Villa,Everton,25,29,4136363,8545454
25/08/2012,Chelsea,Newcastle,26,25,20727272,10681818
25/08/2012,Man United,Fulham,26,29,17727272,3045454
25/08/2012,Norwich,QPR,25,27,3181818,2477272
25/08/2012,Southampton,Wigan,26,27,2681818,0
25/08/2012,Swansea,West Ham,26,28,5454545,3181818
25/08/2012,Tottenham,West Brom,27,27,12409090,3636363
26/08/2012,Liverpool,Man City,24,26,9727272,17227272
26/08/2012,Stoke,Arsenal,27,25,5409090,12363636
1/09/2012,Man City,QPR,26,29,21181818,2754545
1/09/2012,Swansea,Sunderland,26,25,5454545,7772727
1/09/2012,Tottenham,Norwich,26,25,11954545,3181818
1/09/2012,West Brom,Everton,27,29,3636363,8545454
1/09/2012,West Ham,Fulham,27,30,4500000,3045454
1/09/2012,Wigan,Stoke,27,27,0,5409090
2/09/2012,Liverpool,Arsenal,25,24,10363636,11409090
2/09/2012,Newcastle,Aston Villa,25,24,10681818,4909090
2/09/2012,Southampton,Man United,25,27,2090909,15272727
15/09/2012,Arsenal,Southampton,24,25,12272727,2090909
15/09/2012,Aston Villa,Swansea,25,26,4909090,4909090
15/09/2012,Fulham,West Brom,30,27,3590909,4045454
15/09/2012,Man United,Wigan,28,27,9409090,0
15/09/2012,Norwich,West Ham,26,28,2954545,2818181
15/09/2012,QPR,Chelsea,29,27,2754545,18000000
15/09/2012,Stoke,Man City,26,26,6272727,15318181
15/09/2012,Sunderland,Liverpool,25,24,5954545,10590909
16/09/2012,Reading,Tottenham,26,26,1727272,12181818
17/09/2012,Everton,Newcastle,29,26,8818181,5909090
22/09/2012,Chelsea,Stoke,25,26,24545454,6409090
22/09/2012,Southampton,Aston Villa,24,25,2636363,5727272
22/09/2012,Swansea,Everton,26,28,4090909,8090909
22/09/2012,West Brom,Reading,27,26,7045454,2022727
22/09/2012,West Ham,Sunderland,28,25,2818181,5863636
22/09/2012,Wigan,Fulham,28,30,0,3590909
23/09/2012,Liverpool,Man United,24,28,10590909,16318181
23/09/2012,Man City,Arsenal,26,25,15681818,11636363
23/09/2012,Newcastle,Norwich,26,26,9590909,2772727
23/09/2012,Tottenham,QPR,27,29,12772727,1640909
29/09/2012,Arsenal,Chelsea,25,26,11818181,23909090
29/09/2012,Everton,Southampton,28,24,8590909,3000000
29/09/2012,Fulham,Man City,30,26,3590909,15590909
29/09/2012,Man United,Tottenham,29,27,14227272,12636363
29/09/2012,Norwich,Liverpool,26,24,2590909,9636363
29/09/2012,Reading,Newcastle,27,26,1522727,7636363
29/09/2012,Stoke,Swansea,26,26,6409090,4909090
29/09/2012,Sunderland,Wigan,25,27,8090909,0
30/09/2012,Aston Villa,West Brom,24,27,5136363,4181818
1/10/2012,QPR,West Ham,29,27,1640909,2545454
6/10/2012,Chelsea,Norwich,27,26,21818181,2772727
6/10/2012,Man City,Sunderland,26,25,18772727,8181818
6/10/2012,Swansea,Reading,26,27,5318181,1500000
6/10/2012,West Brom,QPR,28,29,4045454,2159090
6/10/2012,West Ham,Arsenal,27,25,4363636,12909090
6/10/2012,Wigan,Everton,27,28,0,8590909
7/10/2012,Liverpool,Stoke,24,26,9636363,6409090
7/10/2012,Newcastle,Man United,26,25,8545454,21136363
7/10/2012,Southampton,Fulham,25,30,2818181,3500000
7/10/2012,Tottenham,Aston Villa,25,24,13909090,5136363
20/10/2012,Fulham,Aston Villa,30,25,4181818,5000000
20/10/2012,Liverpool,Reading,24,26,8727272,1704545
20/10/2012,Man United,Stoke,27,26,20363636,6181818
20/10/2012,Norwich,Arsenal,26,25,3272727,12181818
20/10/2012,Swansea,Wigan,26,27,4181818,0
20/10/2012,Tottenham,Chelsea,27,25,10045454,24545454
20/10/2012,West Brom,Man City,27,26,3727272,17272727
20/10/2012,West Ham,Southampton,27,26,5227272,2886363
21/10/2012,QPR,Everton,27,29,2227272,6454545
21/10/2012,Sunderland,Newcastle,25,26,8181818,10045454
27/10/2012,Arsenal,QPR,26,27,14681818,2227272
27/10/2012,Aston Villa,Norwich,24,26,4863636,3272727
27/10/2012,Man City,Swansea,25,26,14636363,4181818
27/10/2012,Reading,Fulham,28,31,1454545,4000000
27/10/2012,Stoke,Sunderland,26,25,6181818,8681818
27/10/2012,Wigan,West Ham,27,27,0,5227272
28/10/2012,Chelsea,Man United,25,26,24545454,22136363
28/10/2012,Everton,Liverpool,28,24,8636363,7636363
28/10/2012,Newcastle,West Brom,26,27,10409090,6681818
28/10/2012,Southampton,Tottenham,25,27,3045454,13136363
3/11/2012,Fulham,Everton,30,28,4363636,8590909
3/11/2012,Man United,Arsenal,26,26,22136363,14681818
3/11/2012,Norwich,Stoke,26,27,3545454,6045454
3/11/2012,Sunderland,Aston Villa,26,23,7590909,5272727
3/11/2012,Swansea,Chelsea,27,25,3068181,18045454
3/11/2012,Tottenham,Wigan,27,27,13136363,0
3/11/2012,West Ham,Man City,28,26,4727272,17227272
4/11/2012,Liverpool,Newcastle,24,25,7636363,10681818
4/11/2012,QPR,Reading,27,27,2409090,1227272
5/11/2012,West Brom,Southampton,27,24,3636363,3227272
10/11/2012,Arsenal,Fulham,26,30,15227272,5045454
10/11/2012,Aston Villa,Man United,23,28,5113636,21181818
10/11/2012,Everton,Sunderland,28,25,8590909,8181818
10/11/2012,Reading,Norwich,28,27,1363636,3545454
10/11/2012,Southampton,Swansea,23,27,2909090,3068181
10/11/2012,Stoke,QPR,27,27,6090909,2390909
10/11/2012,Wigan,West Brom,27,26,0,7318181
11/11/2012,Chelsea,Liverpool,25,25,21363636,7181818
11/11/2012,Man City,Tottenham,26,26,16727272,13409090
11/11/2012,Newcastle,West Ham,25,27,9727272,4909090
17/11/2012,Arsenal,Tottenham,26,25,18681818,14409090
17/11/2012,Liverpool,Wigan,24,28,8909090,0
17/11/2012,Man City,Aston Villa,26,23,16500000,5113636
17/11/2012,Newcastle,Swansea,24,27,9227272,3204545
17/11/2012,Norwich,Man United,27,28,3545454,16318181
17/11/2012,QPR,Southampton,27,23,2390909,2909090
17/11/2012,Reading,Everton,27,28,1409090,8136363
17/11/2012,West Brom,Chelsea,27,24,3818181,17681818
18/11/2012,Fulham,Sunderland,31,26,4227272,7818181
19/11/2012,West Ham,Stoke,27,27,4863636,6090909
24/11/2012,Aston Villa,Arsenal,23,24,5022727,12954545
24/11/2012,Everton,Norwich,29,26,6090909,3590909
24/11/2012,Man United,QPR,28,29,19181818,2004545
24/11/2012,Stoke,Fulham,27,31,6000000,3227272
24/11/2012,Sunderland,West Brom,26,28,7818181,3772727
24/11/2012,Wigan,Reading,28,27,0,1409090
25/11/2012,Chelsea,Man City,25,26,22818181,18272727
25/11/2012,Southampton,Newcastle,23,25,2909090,7727272
25/11/2012,Swansea,Liverpool,26,25,3613636,10272727
25/11/2012,Tottenham,West Ham,25,27,15136363,4863636
27/11/2012,Aston Villa,Reading,23,27,4750000,1409090
27/11/2012,Sunderland,QPR,26,28,8090909,2295454
28/11/2012,Chelsea,Fulham,25,31,20136363,3136363
28/11/2012,Everton,Arsenal,29,25,8590909,17500000
28/11/2012,Man United,West Ham,26,27,20772727,4272727
28/11/2012,Southampton,Norwich,23,26,2909090,3272727
28/11/2012,Stoke,Newcastle,27,26,6000000,8227272
28/11/2012,Swansea,West Brom,26,27,3886363,7227272
28/11/2012,Tottenham,Liverpool,26,25,14136363,10272727
28/11/2012,Wigan,Man City,27,25,0,16318181
1/12/2012,Arsenal,Swansea,24,26,16727272,3613636
1/12/2012,Fulham,Tottenham,29,25,3500000,13636363
1/12/2012,Liverpool,Southampton,25,23,10409090,2909090
1/12/2012,Man City,Everton,27,29,19590909,8590909
1/12/2012,QPR,Aston Villa,28,23,2295454,4772727
1/12/2012,Reading,Man United,27,27,1409090,19636363
1/12/2012,West Brom,Stoke,28,26,3045454,6000000
1/12/2012,West Ham,Chelsea,28,25,3045454,20727272
2/12/2012,Norwich,Sunderland,26,26,3272727,8136363
3/12/2012,Newcastle,Wigan,26,27,8181818,0
8/12/2012,Arsenal,West Brom,25,28,14636363,3772727
8/12/2012,Aston Villa,Stoke,23,27,4772727,5318181
8/12/2012,Southampton,Reading,25,27,3204545,1409090
8/12/2012,Sunderland,Chelsea,25,25,7090909,23681818
8/12/2012,Swansea,Norwich,26,26,4204545,2909090
8/12/2012,Wigan,QPR,27,29,0,1659090
9/12/2012,Everton,Tottenham,28,26,8909090,11272727
9/12/2012,Man City,Man United,25,27,17772727,22136363
9/12/2012,West Ham,Liverpool,28,25,2818181,11181818
10/12/2012,Fulham,Newcastle,30,26,3590909,9090909
11/12/2012,Sunderland,Reading,25,27,8181818,1659090
15/12/2012,Liverpool,Aston Villa,25,23,11181818,4227272
15/12/2012,Man United,Sunderland,26,26,22454545,7454545
15/12/2012,Newcastle,Man City,26,26,8227272,13545454
15/12/2012,Norwich,Wigan,27,27,3227272,0
15/12/2012,QPR,Fulham,28,31,2186363,4045454
15/12/2012,Stoke,Everton,27,28,6090909,8454545
16/12/2012,Tottenham,Swansea,26,26,11136363,3704545
16/12/2012,West Brom,West Ham,28,28,3954545,2818181
17/12/2012,Reading,Arsenal,28,25,1659090,16681818
22/12/2012,Liverpool,Fulham,26,30,9045454,3818181
22/12/2012,Man City,Reading,25,27,12590909,1772727
22/12/2012,Newcastle,QPR,26,28,8227272,3731818
22/12/2012,Southampton,Sunderland,24,25,2386363,8181818
22/12/2012,Tottenham,Stoke,25,27,14772727,5409090
22/12/2012,West Brom,Norwich,27,27,6772727,3000000
22/12/2012,West Ham,Everton,28,29,3227272,5863636
22/12/2012,Wigan,Arsenal,27,25,0,16681818
23/12/2012,Chelsea,Aston Villa,26,23,20909090,4227272
23/12/2012,Swansea,Man United,26,26,4545454,22045454
26/12/2012,Aston Villa,Tottenham,23,26,4045454,13909090
26/12/2012,Everton,Wigan,29,28,5954545,0
26/12/2012,Fulham,Southampton,29,25,3818181,2477272
26/12/2012,Man United,Newcastle,29,25,14954545,8818181
26/12/2012,Norwich,Chelsea,27,25,3318181,19818181
26/12/2012,QPR,West Brom,27,27,3368181,6681818
26/12/2012,Reading,Swansea,27,25,1954545,4500000
26/12/2012,Stoke,Liverpool,27,26,5590909,9045454
26/12/2012,Sunderland,Man City,25,26,8318181,16363636
29/12/2012,Arsenal,Newcastle,25,25,16590909,8000000
29/12/2012,Aston Villa,Wigan,23,28,4318181,0
29/12/2012,Fulham,Swansea,28,28,4590909,2704545
29/12/2012,Man United,West Brom,25,27,15227272,3227272
29/12/2012,Norwich,Man City,26,25,3090909,17500000
29/12/2012,Reading,West Ham,27,28,1954545,3227272
29/12/2012,Stoke,Southampton,27,26,4454545,2409090
29/12/2012,Sunderland,Tottenham,26,25,7409090,13500000
30/12/2012,Everton,Chelsea,29,27,6000000,22000000
30/12/2012,QPR,Liverpool,28,26,1886363,10272727
1/01/2013,Man City,Stoke,27,26,16636363,6090909
1/01/2013,Southampton,Arsenal,25,25,2136363,16590909
1/01/2013,Swansea,Aston Villa,26,22,4909090,3886363
1/01/2013,Tottenham,Reading,25,27,11545454,1954545
1/01/2013,West Brom,Fulham,27,28,6363636,4500000
1/01/2013,West Ham,Norwich,27,25,2772727,2954545
1/01/2013,Wigan,Man United,27,27,0,16136363
2/01/2013,Chelsea,QPR,25,28,14590909,3568181
2/01/2013,Liverpool,Sunderland,25,25,10363636,8318181
2/01/2013,Newcastle,Everton,26,29,4636363,8227272
12/01/2013,Aston Villa,Southampton,23,24,3704545,2977272
12/01/2013,Everton,Swansea,29,25,8090909,4000000
12/01/2013,Fulham,Wigan,30,27,4636363,0
12/01/2013,Norwich,Newcastle,26,26,3090909,5500000
12/01/2013,QPR,Tottenham,29,25,2886363,14636363
12/01/2013,Reading,West Brom,26,26,1840909,6500000
12/01/2013,Stoke,Chelsea,27,26,6090909,22181818
12/01/2013,Sunderland,West Ham,26,28,7409090,2977272
13/01/2013,Arsenal,Man City,24,26,15954545,19590909
13/01/2013,Man United,Liverpool,26,25,16318181,10772727
16/01/2013,Chelsea,Southampton,26,25,24181818,3022727
19/01/2013,Liverpool,Norwich,26,26,9863636,2818181
19/01/2013,Man City,Fulham,26,31,19590909,4727272
19/01/2013,Newcastle,Reading,26,28,6545454,1954545
19/01/2013,Swansea,Stoke,26,27,3500000,6000000
19/01/2013,West Brom,Aston Villa,27,23,7136363,4590909
19/01/2013,West Ham,QPR,27,28,3772727,2886363
19/01/2013,Wigan,Sunderland,27,26,0,6863636
20/01/2013,Chelsea,Arsenal,26,24,22636363,15681818
20/01/2013,Tottenham,Man United,26,26,12636363,15590909
21/01/2013,Southampton,Everton,25,29,2386363,8227272
23/01/2013,Arsenal,West Ham,25,27,17954545,3318181
29/01/2013,Aston Villa,Newcastle,24,26,5227272,7363636
29/01/2013,QPR,Man City,28,27,3568181,15363636
29/01/2013,Stoke,Wigan,27,27,6000000,0
29/01/2013,Sunderland,Swansea,26,26,6863636,3431818
30/01/2013,Arsenal,Liverpool,25,27,17954545,10772727
30/01/2013,Everton,West Brom,29,26,8181818,6545454
30/01/2013,Fulham,West Ham,31,27,4454545,3772727
30/01/2013,Man United,Southampton,25,25,21090909,2568181
30/01/2013,Norwich,Tottenham,27,26,3318181,13318181
30/01/2013,Reading,Chelsea,28,26,1954545,17318181
2/02/2013,Arsenal,Stoke,25,27,13954545,5409090
2/02/2013,Everton,Aston Villa,28,24,8409090,4681818
2/02/2013,Fulham,Man United,30,27,3454545,22318181
2/02/2013,Newcastle,Chelsea,26,27,7363636,22000000
2/02/2013,QPR,Norwich,27,27,4386363,3318181
2/02/2013,Reading,Sunderland,27,26,1727272,6863636
2/02/2013,West Ham,Swansea,27,26,4590909,3477272
2/02/2013,Wigan,Southampton,27,24,0,2977272
3/02/2013,Man City,Liverpool,26,27,15000000,10681818
3/02/2013,West Brom,Tottenham,27,26,7136363,13318181
9/02/2013,Chelsea,Wigan,26,27,21090909,0
9/02/2013,Norwich,Fulham,26,29,2954545,4727272
9/02/2013,Southampton,Man City,25,27,2931818,13818181
9/02/2013,Stoke,Reading,27,27,5363636,1772727
9/02/2013,Sunderland,Arsenal,25,25,7409090,15818181
9/02/2013,Swansea,QPR,26,27,4181818,4022727
9/02/2013,Tottenham,Newcastle,25,26,12727272,7363636
10/02/2013,Aston Villa,West Ham,23,27,3863636,5545454
10/02/2013,Man United,Everton,26,28,20181818,8409090
11/02/2013,Liverpool,West Brom,27,27,8454545,4181818
17/02/2013,Liverpool,Swansea,27,26,10636363,2045454
23/02/2013,Arsenal,Aston Villa,25,23,15590909,4272727
23/02/2013,Fulham,Stoke,31,27,4409090,5545454
23/02/2013,Norwich,Everton,27,28,2818181,8454545
23/02/2013,QPR,Man United,27,28,4068181,16272727
23/02/2013,Reading,Wigan,27,28,1636363,0
23/02/2013,West Brom,Sunderland,27,26,7454545,7363636
24/02/2013,Man City,Chelsea,25,27,12090909,23454545
24/02/2013,Newcastle,Southampton,26,25,6227272,3840909
25/02/2013,West Ham,Tottenham,28,25,4227272,14136363
2/03/2013,Chelsea,West Brom,26,28,24636363,3636363
2/03/2013,Everton,Reading,28,28,8590909,1431818
2/03/2013,Man United,Norwich,26,26,21363636,3000000
2/03/2013,Southampton,QPR,25,28,2318181,2522727
2/03/2013,Stoke,West Ham,26,28,5045454,3954545
2/03/2013,Sunderland,Fulham,26,31,7363636,4409090
2/03/2013,Swansea,Newcastle,27,25,4181818,5500000
2/03/2013,Wigan,Liverpool,28,27,0,9272727
3/03/2013,Tottenham,Arsenal,26,25,13272727,16136363
4/03/2013,Aston Villa,Man City,23,26,4272727,14545454
9/03/2013,Norwich,Southampton,26,25,2863636,3022727
9/03/2013,QPR,Sunderland,27,26,3113636,7363636
9/03/2013,Reading,Aston Villa,27,23,1431818,5090909
9/03/2013,West Brom,Swansea,26,27,7227272,3454545
10/03/2013,Liverpool,Tottenham,27,26,9727272,11772727
10/03/2013,Newcastle,Stoke,25,26,5500000,5090909
16/03/2013,Aston Villa,QPR,23,28,5090909,3750000
16/03/2013,Everton,Man City,27,27,7090909,17545454
16/03/2013,Man United,Reading,27,27,18136363,1500000
16/03/2013,Southampton,Liverpool,24,26,3477272,11000000
16/03/2013,Stoke,West Brom,27,27,5000000,7227272
16/03/2013,Swansea,Arsenal,27,25,3772727,11545454
17/03/2013,Chelsea,West Ham,26,27,22636363,3272727
17/03/2013,Sunderland,Norwich,27,26,8045454,2454545
17/03/2013,Tottenham,Fulham,25,31,11409090,4409090
17/03/2013,Wigan,Newcastle,27,25,0,4318181
30/03/2013,Arsenal,Reading,27,27,11863636,2000000
30/03/2013,Everton,Stoke,28,26,6181818,5545454
30/03/2013,Man City,Newcastle,27,25,19454545,4909090
30/03/2013,Southampton,Chelsea,25,26,3340909,13818181
30/03/2013,Sunderland,Man United,26,25,6636363,16681818
30/03/2013,Swansea,Tottenham,26,27,4409090,12454545
30/03/2013,West Ham,West Brom,28,26,3500000,7181818
30/03/2013,Wigan,Norwich,27,26,0,2431818
31/03/2013,Aston Villa,Liverpool,23,27,4863636,8863636
1/04/2013,Fulham,QPR,31,27,4409090,3704545
6/04/2013,Norwich,Swansea,26,25,2454545,4090909
6/04/2013,Reading,Southampton,25,25,1863636,3340909
6/04/2013,Stoke,Aston Villa,27,23,5318181,4454545
6/04/2013,West Brom,Arsenal,27,27,3954545,11863636
7/04/2013,Chelsea,Sunderland,25,25,24000000,6409090
7/04/2013,Liverpool,West Ham,27,28,8863636,1772727
7/04/2013,Newcastle,Fulham,25,31,5909090,4318181
7/04/2013,QPR,Wigan,27,27,2795454,0
7/04/2013,Tottenham,Everton,25,27,10636363,5772727
8/04/2013,Man United,Man City,27,26,20818181,19045454
13/04/2013,Arsenal,Norwich,26,27,14227272,2772727
13/04/2013,Aston Villa,Fulham,23,30,3636363,5209090
13/04/2013,Everton,QPR,28,28,8409090,3113636
13/04/2013,Reading,Liverpool,26,27,2045454,10818181
13/04/2013,Southampton,West Ham,25,28,2840909,3454545
14/04/2013,Newcastle,Sunderland,26,26,5681818,6681818
14/04/2013,Stoke,Man United,26,27,6090909,21681818
16/04/2013,Arsenal,Everton,25,27,16590909,8409090
17/04/2013,Fulham,Chelsea,31,26,4981818,22454545
17/04/2013,Man City,Wigan,27,27,14136363,0
17/04/2013,West Ham,Man United,28,27,3500000,21000000
20/04/2013,Fulham,Arsenal,28,27,5481818,14409090
20/04/2013,Norwich,Reading,26,25,2636363,2090909
20/04/2013,QPR,Stoke,28,26,2568181,6000000
20/04/2013,Sunderland,Everton,25,28,6863636,7409090
20/04/2013,Swansea,Southampton,26,26,4272727,3431818
20/04/2013,West Brom,Newcastle,27,25,6727272,5181818
