Team,Visiting,Stadium,_featureID,TotalRoadJourney
Brentford,Bournemouth,Brentford Community Stadium,8,302.970595673719
Man City,Stoke,Etihad Stadium,21,127.318325751979
Fulham,Brighton,Craven Cottage,15,161.76600364861
Stoke,Hull,Bet365 Stadium,31,362.11541197678
Liverpool,QPR,Anfield,20,629.817770865875
Portsmouth,Huddersfield,Fratton Park,26,740.15342492399
Stoke,Bolton,Bet365 Stadium,31,163.678751399335
Blackburn,Bolton,Ewood Park,4,48.1623916626156
QPR,Reading,Loftus Road,27,118.661479211901
Birmingham,Arsenal,St Andrew's (stadium),3,343.640797362616
Bolton,Hull,University of Bolton Stadium,6,319.613011033111
Cardiff,Sunderland,Cardiff City Stadium (Dinas Caerdydd),11,933.361295391123
Middlesbrough,Aston Villa,Riverside Stadium,23,525.266941515987
West Ham,Watford,London Stadium (Olympic Stadium),37,65.9707114013338
Swansea,Wolves,Swansea.com Stadium,33,380.350045923712
Southampton,Birmingham,St Mary's Stadium,30,403.006319728589
Crystal Palace,Middlesbrough,Selhurst Park,13,807.133215363949
Swansea,Aston Villa,Swansea.com Stadium,33,389.98043652699
Man United,Watford,Old Trafford,22,541.25641477889
Watford,Sunderland,Vicarage Road,35,821.590317222378
Leeds,Leicester,Elland Road,18,302.743921915746
Brighton,Bolton,Falmer Stadium (The Amex),9,790.716670730765
Brentford,Brighton,Brentford Community Stadium,8,168.168298859681
Man United,West Ham,Old Trafford,22,591.467877456908
Liverpool,Burnley,Anfield,20,150.623389922685
Wigan,West Ham,DW Stadium,38,623.457573167023
Southampton,Liverpool,St Mary's Stadium,30,688.904060766155
Huddersfield,Newcastle,Kirklees Stadium (John Smith's Stadium),16,340.213767505327
Crystal Palace,Sunderland,Selhurst Park,13,887.2931316006
Leeds,Everton,Elland Road,18,213.104555423246
Southampton,Middlesbrough,St Mary's Stadium,30,904.535846039891
Birmingham,Bournemouth,St Andrew's (stadium),3,434.836581391594
Wolves,Liverpool,Molineux Stadium,39,250.525649647921
Burnley,Leeds,Turf Moor,10,112.039693859876
Stoke,Crystal Palace,Bet365 Stadium,31,495.984237450664
Southampton,Fulham,St Mary's Stadium,30,235.152720222885
West Brom,Southampton,The Hawthorns,36,417.801711149216
Watford,Leicester,Vicarage Road,35,260.680213846509
Man City,Watford,Etihad Stadium,21,538.523886604218
Portsmouth,QPR,Fratton Park,26,221.211484360156
Leicester,Wolves,King Power Stadium,19,158.478601484316
Birmingham,Chelsea,St Andrew's (stadium),3,356.155636883132
Newcastle,Reading,St. James' Park,24,884.05971551508
Liverpool,Southampton,Anfield,20,688.904060766155
Fulham,Sheffield United,Craven Cottage,15,506.29604158145
Leicester,Watford,King Power Stadium,19,260.680213846509
Man City,Leeds,Etihad Stadium,21,119.310929984015
Bolton,Brighton,University of Bolton Stadium,6,790.716670730766
Liverpool,Bolton,Anfield,20,79.0839692429963
Southampton,Blackpool,St Mary's Stadium,30,787.547406207294
Man City,Leicester,Etihad Stadium,21,282.965836343296
Middlesbrough,Newcastle,Riverside Stadium,23,122.005034911145
Huddersfield,Birmingham,Kirklees Stadium (John Smith's Stadium),16,316.391690245647
Reading,Southampton,Madejski Stadium,28,145.036625273581
West Brom,Stoke,The Hawthorns,36,123.322143706879
Bournemouth,West Ham,Dean Court (Vitality Stadium),7,343.390397525632
Fulham,West Ham,Craven Cottage,15,34.6276176965276
Chelsea,Sheffield United,Stamford Bridge,12,507.153924000202
QPR,Wigan,Loftus Road,27,617.293375761342
Newcastle,Norwich,St. James' Park,24,810.759471633866
Blackpool,QPR,Bloomfield Road,5,716.188051572634
Tottenham,Middlesbrough,White Hart Lane,34,762.773075906779
Blackburn,Birmingham,Ewood Park,4,323.927263106599
Birmingham,QPR,St Andrew's (stadium),3,346.438405137433
Man City,Portsmouth,Etihad Stadium,21,704.319322424142
Tottenham,Tottenham,White Hart Lane,34,0
Norwich,Wigan,Carrow Road,25,643.910219049831
Hull,Watford,MKM Stadium,17,522.211787621618
Burnley,Sunderland,Turf Moor,10,336.269864180547
Tottenham,Leicester,White Hart Lane,34,296.864865790362
West Brom,West Ham,The Hawthorns,36,371.45862688053
Tottenham,Man City,White Hart Lane,34,574.708538548072
Man City,Bournemouth,Etihad Stadium,21,692.255115827261
Blackburn,Stoke,Ewood Park,4,192.538349202262
QPR,Brentford,Loftus Road,27,11.2571456229489
Sunderland,Southampton,Stadium of Light,32,984.695762276541
Hull,Burnley,MKM Stadium,17,284.706447589393
West Ham,Stoke,London Stadium (Olympic Stadium),37,473.925209254747
Wolves,Tottenham,Molineux Stadium,39,388.664045671615
Everton,Bournemouth,Goodison Park,14,718.353880358223
Sunderland,Middlesbrough,Stadium of Light,32,95.562557197684
Bournemouth,Bolton,Dean Court (Vitality Stadium),7,728.176072441386
Brighton,Blackpool,Falmer Stadium (The Amex),9,881.918266159678
Tottenham,Everton,White Hart Lane,34,624.829075681341
Everton,Fulham,Goodison Park,14,638.455672443917
Burnley,Bournemouth,Turf Moor,10,771.282570747336
West Ham,Cardiff,London Stadium (Olympic Stadium),37,493.814725348527
Man United,Burnley,Old Trafford,22,84.8447759763239
Chelsea,West Ham,Stamford Bridge,12,30.2272138455155
Burnley,Swansea,Turf Moor,10,631.642917985446
Man City,Brighton,Etihad Stadium,21,748.301366463598
Bournemouth,Bournemouth,Dean Court (Vitality Stadium),7,0
Arsenal,Huddersfield,Emirates Stadium,1,582.824604593017
Wigan,Brentford,DW Stadium,38,615.679643082658
Newcastle,Arsenal,St. James' Park,24,864.137307403953
Newcastle,Fulham,St. James' Park,24,881.461471218732
West Brom,Crystal Palace,The Hawthorns,36,393.517655076447
Tottenham,Huddersfield,White Hart Lane,34,581.215091929771
Newcastle,Bournemouth,St. James' Park,24,1051.67154790312
Liverpool,Birmingham,Anfield,20,297.565920915776
Tottenham,Brighton,White Hart Lane,34,188.047666116751
Portsmouth,Man United,Fratton Park,26,702.529412557668
Chelsea,Newcastle,Stamford Bridge,12,881.812788129385
Blackburn,Arsenal,Ewood Park,4,647.020144738992
Cardiff,Reading,Cardiff City Stadium (Dinas Caerdydd),11,352.044534145651
Bolton,West Ham,University of Bolton Stadium,6,631.150653549402
Burnley,Arsenal,Turf Moor,10,648.863153158497
Swansea,Everton,Swansea.com Stadium,33,508.942481944862
Blackburn,Leicester,Ewood Park,4,353.69255450713
Norwich,Man United,Carrow Road,25,588.038575407279
Man City,Hull,Etihad Stadium,21,285.393643249712
Man City,Sheffield United,Etihad Stadium,21,116.761806871524
Crystal Palace,Chelsea,Selhurst Park,13,27.1336276119295
Arsenal,Leicester,Emirates Stadium,1,298.474378453608
Reading,Sunderland,Madejski Stadium,28,869.750187701654
Middlesbrough,Blackburn,Riverside Stadium,23,309.809759462027
Birmingham,Swansea,St Andrew's (stadium),3,388.25857563624
Crystal Palace,Leicester,Selhurst Park,13,332.950704720443
Brentford,Sheffield United,Brentford Community Stadium,8,498.918325468672
Cardiff,Everton,Cardiff City Stadium (Dinas Caerdydd),11,525.288426468064
Swansea,Man City,Swansea.com Stadium,33,571.700436232111
Newcastle,West Ham,St. James' Park,24,875.598968303912
Watford,Brighton,Vicarage Road,35,214.162865994158
Portsmouth,Portsmouth,Fratton Park,26,0
Leeds,Brentford,Elland Road,18,604.223007994287
Leicester,Leicester,King Power Stadium,19,0
Reading,Aston Villa,Madejski Stadium,28,298.092846974506
Aston Villa,Middlesbrough,Villa Park,2,525.266941515986
Sunderland,Watford,Stadium of Light,32,821.590317222378
Man City,Everton,Etihad Stadium,21,110.273920335507
Huddersfield,Reading,Kirklees Stadium (John Smith's Stadium),16,581.313382089216
Brighton,Arsenal,Falmer Stadium (The Amex),9,177.108190350687
Middlesbrough,Tottenham,Riverside Stadium,23,762.773075906778
Aston Villa,Bournemouth,Villa Park,2,443.933240302164
Burnley,Bolton,Turf Moor,10,76.7186419579039
Fulham,Everton,Craven Cottage,15,638.455672443916
Wolves,Leeds,Molineux Stadium,39,319.229856972037
Arsenal,Blackburn,Emirates Stadium,1,647.02014473899
Bournemouth,Huddersfield,Dean Court (Vitality Stadium),7,745.718405020556
Tottenham,Sunderland,White Hart Lane,34,842.932992143429
Newcastle,Leicester,St. James' Park,24,577.075541124346
West Brom,Bolton,The Hawthorns,36,280.235962988828
Bournemouth,Man United,Dean Court (Vitality Stadium),7,690.465205960787
Wolves,Aston Villa,Molineux Stadium,39,43.3960687564479
Middlesbrough,Burnley,Riverside Stadium,23,274.5140207707
Bolton,Blackburn,University of Bolton Stadium,6,48.1623916626156
Hull,West Brom,MKM Stadium,17,405.241786461531
Man United,Fulham,Old Trafford,22,591.067663485319
Leicester,Bolton,King Power Stadium,19,328.309451535475
Man City,Fulham,Etihad Stadium,21,588.335135310647
Arsenal,Brentford,Emirates Stadium,1,33.0050690985129
Wolves,West Brom,Molineux Stadium,39,31.2322295252479
Man United,Huddersfield,Old Trafford,22,92.5426272228535
Birmingham,Cardiff,St Andrew's (stadium),3,324.270956241038
Wigan,Leicester,DW Stadium,38,333.376032410019
Huddersfield,Aston Villa,Kirklees Stadium (John Smith's Stadium),16,307.006617050505
Reading,Cardiff,Madejski Stadium,28,352.044534145651
Southampton,Cardiff,St Mary's Stadium,30,360.760340235432
Cardiff,Birmingham,Cardiff City Stadium (Dinas Caerdydd),11,324.270956241038
Stoke,Man City,Bet365 Stadium,31,127.318325751979
Bournemouth,Crystal Palace,Dean Court (Vitality Stadium),7,323.76843953345
Blackpool,Man United,Bloomfield Road,5,147.378946356993
Bolton,Huddersfield,University of Bolton Stadium,6,114.134963225731
Stoke,Brentford,Bet365 Stadium,31,466.147279170381
QPR,Man United,Loftus Road,27,585.303680051225
Tottenham,Hull,White Hart Lane,34,538.022559159832
Liverpool,Cardiff,Anfield,20,525.004558880813
Portsmouth,Wigan,Fratton Park,26,732.547198655888
Leicester,West Ham,King Power Stadium,19,310.891676524526
Leicester,Liverpool,King Power Stadium,19,345.900427514552
Reading,Man City,Madejski Stadium,28,545.892716575031
Arsenal,Reading,Emirates Stadium,1,141.380232349311
Man United,Tottenham,Old Trafford,22,577.441066722744
Tottenham,Wigan,White Hart Lane,34,609.43076243286
Burnley,Leicester,Turf Moor,10,353.119248288723
Brighton,Leicester,Falmer Stadium (The Amex),9,470.457693705889
Leeds,Man United,Elland Road,18,129.388561591145
Norwich,Blackpool,Carrow Road,25,729.104711395438
Man City,Wigan,Etihad Stadium,21,70.1321172423462
Liverpool,Liverpool,Anfield,20,0
Newcastle,Hull,St. James' Park,24,374.487848647591
Burnley,West Brom,Turf Moor,10,323.34246129478
Man City,Crystal Palace,Etihad Stadium,21,610.794377478152
